,Open,High,Low,Close,Profitable
367,141.0,141.546875,140.09375,140.8125,0.0
368,134.91000366210938,136.30999755859375,133.97999572753906,134.99000549316406,0.0
369,237.47000122070312,237.61000061035156,233.5800018310547,233.72999572753906,0.0
370,138.6300048828125,139.14999389648438,137.07000732421875,137.72000122070312,0.0
371,108.29000091552734,108.97000122070312,106.75,107.44000244140625,0.0
372,109.76000213623047,110.80999755859375,109.62999725341797,109.98999786376953,0.0
373,299.67999267578125,300.239990234375,298.5199890136719,299.2799987792969,0.0
374,236.63999938964844,237.30999755859375,236.35000610351562,237.11000061035156,0.0
375,115.30000305175781,116.08000183105469,115.25,116.05999755859375,0.0
376,168.7899932861328,168.94000244140625,166.83999633789062,167.6199951171875,0.0
377,138.52000427246094,139.33999633789062,138.27000427246094,138.67999267578125,0.0
378,135.625,137.46875,134.5,136.5625,0.0
379,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,0.0
380,145.63999938964844,146.33999633789062,145.44000244140625,146.1300048828125,0.0
381,440.4700012207031,441.1099853515625,433.79998779296875,435.7099914550781,0.0
382,138.94000244140625,139.55999755859375,138.25999450683594,138.47999572753906,0.0
383,119.0199966430664,119.41000366210938,118.69999694824219,119.29000091552734,0.0
384,127.27999877929688,127.36000061035156,126.36000061035156,126.36000061035156,0.0
385,183.8699951171875,184.02000427246094,183.5800018310547,183.82000732421875,0.0
386,132.75,133.17999267578125,131.66000366210938,131.97000122070312,0.0
387,321.6499938964844,322.95001220703125,321.6400146484375,322.94000244140625,0.0
388,235.0,235.5800018310547,234.55999755859375,235.47999572753906,0.0
389,118.52999877929688,118.80000305175781,118.2300033569336,118.73999786376953,0.0
390,301.1300048828125,301.1300048828125,300.19000244140625,300.75,0.0
391,144.14999389648438,144.66000366210938,143.91000366210938,144.61000061035156,0.0
392,122.33999633789062,122.91999816894531,122.18000030517578,122.72000122070312,0.0
393,210.58999633789062,211.32000732421875,209.36000061035156,210.58999633789062,0.0
394,232.0800018310547,233.07000732421875,232.0500030517578,232.77000427246094,0.0
395,179.05999755859375,179.52000427246094,177.1199951171875,178.00999450683594,0.0
396,91.81999969482422,93.18000030517578,91.41000366210938,92.80999755859375,0.0
397,154.99000549316406,155.52999877929688,154.5800018310547,154.8300018310547,0.0
398,186.7100067138672,187.91000366210938,186.50999450683594,187.66000366210938,0.0
399,133.8300018310547,135.36000061035156,133.38999938964844,134.39999389648438,0.0
400,130.0800018310547,130.4600067138672,129.8300018310547,130.27999877929688,0.0
401,97.7300033569336,98.33999633789062,95.01000213623047,95.5999984741211,0.0
402,155.38999938964844,155.49000549316406,154.77000427246094,155.02000427246094,0.0
403,147.27999877929688,147.5800018310547,143.1999969482422,143.8000030517578,0.0
404,119.9000015258789,120.47000122070312,118.58000183105469,118.5999984741211,0.0
405,209.07000732421875,209.35000610351562,205.7100067138672,205.75999450683594,0.0
406,256.17999267578125,256.30999755859375,254.0,255.2899932861328,0.0
407,287.75,289.7799987792969,287.1300048828125,287.67999267578125,0.0
408,286.05999755859375,287.19000244140625,278.9599914550781,281.6000061035156,0.0
409,107.55999755859375,107.94000244140625,106.75,107.52999877929688,0.0
410,382.44000244140625,383.70001220703125,380.4800109863281,381.8500061035156,0.0
